
번호 | 분류    | 초기상태            | 행동                      | 기대                       | 실제                      | 판정
43   | 관리자     | 대시보드                | 데이터 출처                    | admin-dashboard 호출         | admin-dashboard 호출        | 코드 PASS
44   | 결제      | 게이트                 | PAYMENT_GATE 값            | review_pending             | review_pending            | 코드 PASS
45   | 결제      | 가격                  | 리포트 단건 금액                 | 4900                       | 4900                      | 코드 PASS
46   | 결제      | Stripe              | 실행 코드                     | 0건                         | src 내 0건                  | 코드 PASS
47   | KEY     | 키 화면                | 데모 표기                     | 사용자에게 데모임을 알림              | 데모 안내 + isDemo 분기 (세션 없이  | 코드 PASS
48   | 등급      | Just Try            | 준비 중 표기                   | 준비 중 노출                    | 준비 중 배지 (세션 없이 렌더 불가)     | 코드 PASS
49   | 보안      | 빌드 산출물              | .js.map 과 sourceMappingUR | 0건                         | map=0 smu=0               | 코드 PASS
50   | 보안      | 빌드 산출물              | Secret 문자열                | 0건                         | 0건                        | 코드 PASS

집계: {"렌더 PASS":9,"코드 PASS":39,"확인 불가":1,"목표 미달":1}
